workerid,proliferate.condition,accept_time,acceptability,block_number,condition,confidence_time,first_response_value,itemID,item_type,meaning_confidence,paraphrase,meaning_type,form_type,paraphrase_time,rating,response,sentence_id,slide_start,stimulus,trial_sequence_total,wrong_attempts,error
83,condition1,7.469,,2,subj_island,2.627,,,,0.5,did the collection impress the curators?,C,Ca,5.458,0.2,,subj1,411.32,What did a collection of impress the curators?,19,,
83,condition1,125.05,,2,LBC,2.027,,,,0.69,how many books did you fit in your locker?,A,Aa,5.381,0.22,,LBC5,426.875,How many did you fit in your locker books?,20,,
83,condition1,7.903,,2,CSC,1.989,,,,0.59,does the critic dislike the actor and someone else?,C,Ca,7.562,0.23,,CSC2,559.334,Who does the critic dislike the actor and?,21,,
83,condition1,8.905,,2,gram,1.475,,,,0.98,the court case's report mentioned the defendant's name,,,6.229,0.97,,gram2,576.79,The report on the court case mentioned the defendant's name.,22,,
83,condition1,10.223,,3,head_dir,1.498,,,,0.98,the boy plays video games every day,A,Aa,5.156,0.21,,head3,593.4,The boy video games plays every day.,23,,
83,condition1,5.827,,3,NPI,2.762,,,,0.37,the detective accused everyone during his investigation,A,Aa,8.675,0.8,,NPI4,610.279,The detective accused anyone during his investigation.,24,,
83,condition1,5.607,,3,subcat,2.068,,,,0.91,the committee agreed on the budget for the park,A,Aa,7.315,0.86,,sub3,627.544,The committee agreed for the budget for the park.,25,,
83,condition1,2.798,,3,LBC,1.87,,,,0.78,how many pills do you take in a day?,A,Aa,5.712,0.38,,LBC2,642.536,How many do you take pills in a day?,26,,
83,condition1,7.177,,3,binding,2.201,,,,0.26,the butler claimed that the widow was reprimanded,H,Ha,7.801,0.33,,bind3,652.918,The butler claimed that the widow reprimanded himself.,27,,
83,condition1,13.113,,3,subj_island,2.304,,,,0.04,no idea,Z1,Z1,3.527,0.06,,subj4,670.099,What did a meal of disgust the diner?,28,,
83,condition1,5.583,,3,agreement,2.051,,,,0.08,the burger was devoured quickly at the diner,B,Bc,6.712,0.08,,agr3,689.044,The burger were devoured quickly by the diner.,29,,
83,condition1,3.683,,3,ungram,1.27,,,,0.01,no idea,,,2.421,0.02,,ungram4,703.392,Believe the does killed claim that who detective the poison ?,30,,
83,condition1,9.251,,3,gram,1.191,,,,0.97,the brother likes and the sister hates which actor?,,,11.629,0.93,,gram3,710.768,Which actor does the brother like and the sister hate?,31,,
83,condition1,8.132,,3,adj_island,1.853,,,,0.95,did the sculptor leave the room because the assister insulted him?,B,Ba,14.351,0.64,,adj2,732.84,What did the sculptor leave the room because the assistant insulted?,32,,
83,condition1,3.902,,3,CSC,2.486,,,,0.72,did the captain bring a map and something else?,C,Ca,6.383,0.29,,CSC3,757.178,What did the captain bring a map and?,33,,
83,condition1,4.029,,4,CSC,1.562,,,,0.78,did the farmer harvest corn and something else?,C,Ca,6.195,0.24,,CSC1,769.951,What did the farmer harvest corn and?,34,,
83,condition1,3.067,,4,LBC,2.414,,,,0.99,how many cookies did you see in the jar?,A,Aa,6.624,0.31,,LBC1,781.738,How many did you see cookies in the jar?,35,,
83,condition1,4.502,,4,ungram,1.184,,,,0.02,no idea,,,1.861,0.01,,ungram5,793.844,Lead pianist to what claim the does believe that can practice ?,36,,
83,condition1,4.985,,4,head_dir,1.505,,,,0.68,the kitten drank all of the milk,A,Aa,4.442,0.11,,head2,801.392,The kitten all of the milk drank.,37,,
83,condition1,10.678,,4,subcat,1.933,,,,1,the group decided on a restaurant for dinner,A,Aa,6.037,0.75,,sub2,812.325,The group decided for a restaurant for dinner.,38,,
83,condition1,4.73,,4,binding,1.696,,,,0.96,the bride thinks that the groom saw her,A,Aa,4.719,0.6,,bind1,830.975,The bride thinks that the groom saw herself.,39,,
83,condition1,4.59,,4,NPI,1.775,,,,0.67,the patient did everything on the hospital bed,A,Aa,6.019,0.68,,NPI5,842.122,The patient did anything on the hospital bed.,40,,
83,condition1,5.411,,4,adj_island,2.531,,,,0.72,did the waiter set the table because the housewife praised him?,B,Ba,10.435,0.22,,adj5,854.508,What did the waiter set the table because the housewife praised?,41,,
83,condition1,4.51,,4,gram,4.291,,,,0.97,the receptionist disliked the patient and he knew it,,,6.325,0.98,,gram1,872.887,The patient knew that the receptionist disliked him.,42,,
83,condition1,6.474,,4,subj_island,2.492,,,,0.02,no idea,Z2,Z2,2.083,0.26,,subj5,888.014,What did an exhibit of anger the citizens?,43,,
83,condition1,3.397,,4,agreement,1.586,,,,0.99,the parents reprimanded the students,A,Ab,5.787,0.99,,agr2,899.065,The student were reprimanded by the parents.,44,,
83,condition1,4.234,,5,gram,1.649,,,,1,music is on at the artist's work every day,,,8.888,0.96,,gram5,909.837,The artist listens to music at work every day.,45,,
83,condition1,3.816,,5,head_dir,1.601,,,,0.97,the citizens voted on a new bill,A,Aa,5.61,0.59,,head5,924.609,The citizens the new bill voted on.,46,,
83,condition1,6.174,,5,agreement,2.003,,,,0.98,the performer was chased offstage by the public,B,Bb,8.951,0.47,,agr5,935.638,The performer were chased off stage by the public.,47,,
83,condition1,8.173,,5,binding,2.454,,,,0.81,the gentleman accepted that the waitress disliked him,A,Aa,9.469,0.29,,bind4,952.768,The gentleman accepted that the waitress disliked himself.,48,,
83,condition1,6.079,,5,subj_island,2.722,,,,0.28,what gift pleased the recipient?,A,Ab,4.889,0.17,,subj3,972.866,What did a gift of please the recipient?,49,,
83,condition1,5.101,,5,LBC,1.618,,,,0.94,how many books do you read in a year?,A,Aa,7.272,0.5,,LBC3,986.558,How many do you read books in a year?,50,,
83,condition1,6.911,,5,CSC,1.468,,,,0.62,does the woman listen to someone other than the Beattles?,C,Ca,11.586,0.29,,CSC5,1000.55,Who does the woman listen to the Beatles and?,51,,
83,condition1,8.325,,5,adj_island,1.435,,,,0.63,did the chef do housework because the maid got injured?,C,Ca,8.123,0.35,,adj3,1020.516,What did the chef do housework because the maid injured?,52,,
83,condition1,3.319,,5,ungram,1.405,,,,0.03,no idea,,,2.405,0.02,,ungram2,1038.401,Do activists bribed claim officials the that the who ?,53,,
83,condition1,3.217,,5,NPI,1.222,,,,0.97,the teacher wrote everything on the whiteboard,A,Aa,6.042,0.99,,NPI3,1045.532,The teacher wrote anything on the whiteboard.,54,,
83,condition1,5.487,,5,subcat,2.107,,,,0.99,the policeman relied on his instincts to catch the thief,A,Aa,9.498,0.67,,sub1,1056.015,The policeman relied for his instincts to catch the thief.,55,,
133,condition1,3.765,0.96,practice,practice_good,5.581,,practice_good,,0.93,,,,21.135,,,,8.107,,0,0,
133,condition1,9.59,,practice,,5.114,,practice_mid,practice_mid,0.7,,,,9.369,,0.25,,38.601,,0,0,
133,condition1,7.974,,practice,,4.381,,practice_bad,practice_bad,0.08,,,,14.705,,0.02,,62.684,,0,0,
133,condition1,6.604,,1,LBC,2.817,,,,0.99,asking how many books I read in a year,A,Aa,11.901,0.96,,LBC3,3008.947,How many do you read books in a year?,1,,
133,condition1,12.42,,1,binding,2.45,,,,0.72,The man accepted the waitress didn't like him,A,Aa,17.036,0.59,,bind4,3030.283,The gentleman accepted that the waitress disliked himself.,2,,
133,condition1,7.873,,1,subj_island,4.401,,,,0.24,What meal did the diner have that disgusted them so.,A,Ac,11.701,0.17,,subj4,3062.199,What did a meal of disgust the diner?,3,,
133,condition1,12.308,,1,head_dir,1.617,,,,0.81,the tourist visited her favourite restaurant,A,Aa,8.552,0.13,,head4,3086.184,The tourist her favorite restaurant visited.,4,,
133,condition1,9.556,,1,gram,1.787,,,,0.68,the patient knew the receptionist didn't like him.,,,8.55,0.68,,gram1,3108.671,The patient knew that the receptionist disliked him.,5,,
133,condition1,4.257,,1,CSC,1.567,,,,0.05,when did the boy buy milk and something else.,D,Da,7.918,0.17,,CSC4,3128.572,What did the boy purchase milk and?,6,,
133,condition1,12.242,,1,agreement,2.633,,,,0.91,the parents scolded the children.,A,Ab,8.217,0.91,,agr2,3142.323,The student were reprimanded by the parents.,7,,
133,condition1,3.809,,1,NPI,1.967,,,,0.42,the teacher would write anything on the whiteboard.,E,Ea,10.836,0.57,,NPI3,3165.423,The teacher wrote anything on the whiteboard.,8,,
133,condition1,6.007,,1,adj_island,4.118,,,,0.25,did the chef do housework because the maid is injured,C,Cb,11.252,0.32,,adj3,3182.043,What did the chef do housework because the maid injured?,9,,
133,condition1,4.625,,1,subcat,2.051,,,,0.79,the family made a compromise about where to go to vacation,A,Ab,20.284,0.6,,sub5,3203.428,The family compromised for where to go for vacation.,10,,
133,condition1,3.843,,1,ungram,5.084,,,,0.03,does the detective know who gave poison,,,12.869,0.04,,ungram4,3230.396,Believe the does killed claim that who detective the poison ?,11,,
133,condition1,50.762,,2,head_dir,1.834,,,,0.77,boy plays video games all day,A,Aa,7.302,0.31,,head3,3252.2,The boy video games plays every day.,12,,
133,condition1,5.576,,2,agreement,1.199,,,,0.89,the diner ate the burger,B,Bd,8.369,0.68,,agr3,3312.105,The burger were devoured quickly by the diner.,13,,
133,condition1,3.459,,2,NPI,1.334,,,,0.19,the spy saw something today,B,Ba,5.917,0.32,,NPI1,3327.256,The spy saw anything yesterday.,14,,
133,condition1,6.692,,2,subcat,1.417,,,,0.92,the police used his instincts to catch the thief,A,Ac,11.336,0.7,,sub1,3337.974,The policeman relied for his instincts to catch the thief.,15,,
133,condition1,4.624,,2,LBC,1.45,,,,0.68,how many cookies did you see in the jar,A,Aa,9.12,0.54,,LBC1,3357.427,How many did you see cookies in the jar?,16,,
133,condition1,5.307,,2,binding,1.15,,,,0.81,bride thinks the groom saw her,A,Aa,7.218,0.63,,bind1,3372.629,The bride thinks that the groom saw herself.,17,,
133,condition1,5.442,,2,CSC,1.251,,,,0.35,did the farmer harvest corn and something else,C,Ca,90.121,0.43,,CSC1,3386.312,What did the farmer harvest corn and?,18,,
133,condition1,5.893,,2,adj_island,2.084,,,,0.6,Did the fugitive run away because her accomplice got recognised,C,Ca,11.718,0.24,,adj4,3483.134,What did the fugitive run away because her accomplice recognized?,19,,
133,condition1,5.876,,2,ungram,2.467,,,,0.1,Lead pianist believes in practice,,,8.734,0.09,,ungram5,3502.837,Lead pianist to what claim the does believe that can practice ?,20,,
133,condition1,4.792,,2,subj_island,1.334,,,,0.48,Did the exhibit anger citizens,C,Ca,5.984,0.25,,subj5,3519.922,What did an exhibit of anger the citizens?,21,,
133,condition1,2.924,,2,gram,2.468,,,,0.98,the report mentioned the defendant's name,,,8.969,0.95,,gram2,3532.04,The report on the court case mentioned the defendant's name.,22,,
133,condition1,7.042,,3,gram,2,,,,0.79,who is the actor that the brother likes and the sister hates,,,11.853,0.81,,gram3,3546.409,Which actor does the brother like and the sister hate?,23,,
133,condition1,75.265,,3,subj_island,0.834,,,,0.6,did the gift please the person who got it,C,Cb,8.486,0.34,,subj3,3567.311,What did a gift of please the recipient?,24,,
133,condition1,14.825,,3,ungram,2.901,,,,0.15,did they bribe officials?,,,10.035,0.08,,ungram2,3651.903,Do activists bribed claim officials the that the who ?,25,,
133,condition1,7.357,,3,CSC,5.284,,,,0.29,the captain brought a map and what else,A,Aa,14.019,0.53,,CSC3,3679.673,What did the captain bring a map and?,26,,
133,condition1,49.444,,3,subcat,9.285,,,,0.64,the group chose a restaurant for dinner,A,Ad,7.235,0.71,,sub2,3706.343,The group decided for a restaurant for dinner.,27,,
133,condition1,4.524,,3,binding,1.401,,,,0.68,the duchess found out the king liked her,A,Aa,6.951,0.39,,bind2,3772.315,The duchess heard that the king liked herself.,28,,
133,condition1,71.965,,3,LBC,1.05,,,,0.74,how many pills do you take a day,A,Aa,9.668,0.6,,LBC2,3785.199,How many do you take pills in a day?,29,,
133,condition1,3.675,,3,head_dir,1.234,,,,0.7,the kid surely ate the cake,A,Aa,5.285,0.28,,head1,3867.89,The child surely the chocolate cake ate.,30,,
133,condition1,71.314,,3,adj_island,2.517,,,,0.3,did the waiter set up the table because the housewife praised them,B,Ba,11.702,0.23,,adj5,3878.092,What did the waiter set the table because the housewife praised?,31,,
133,condition1,3.592,,3,NPI,0.967,,,,0.39,patient did something on the bed,B,Ba,4.485,0.56,,NPI5,3963.633,The patient did anything on the hospital bed.,32,,
133,condition1,4.508,,3,agreement,1.951,,,,0.97,performer was chased off stage by public,B,Bb,7.169,0.83,,agr5,3972.684,The performer were chased off stage by the public.,33,,
133,condition1,47.312,,4,CSC,1.983,,,,0.61,who does the actor dislike,E,Ea,6.617,0.43,,CSC2,3986.32,Who does the critic dislike the actor and?,34,,
133,condition1,3.027,,4,NPI,0.851,,,,0.48,the student liked everyone in class,A,Aa,10.068,0.48,,NPI2,4042.239,The student liked anyone in her class.,35,,
133,condition1,2.707,,4,head_dir,1.834,,,,0.69,kitten drank all milk,A,Aa,4.953,0.35,,head2,4056.193,The kitten all of the milk drank.,36,,
133,condition1,5.19,,4,LBC,1.434,,,,0.55,how many dogs did they see at the park,A,Aa,9.135,0.36,,LBC4,4065.695,How many did they see dogs at the park?,37,,
133,condition1,3.841,,4,agreement,1.384,,,,0.87,clown was invited to party by host,B,Bb,6.818,0.65,,agr1,4081.462,The clown were invited to the party by the host.,38,,
133,condition1,144.256,,4,ungram,3,,,,0.09,does the mechanic believe biofuel can power car,,,11.602,0.07,,ungram1,4093.513,Mechanic the that can power biofuel the does believe what ?,39,,
133,condition1,3.758,,4,subj_island,1.95,,,,0.58,when did painting get stolen,H,Ha,7.701,0.26,,subj2,4252.379,What did a painting of get stolen?,40,,
133,condition1,4.309,,4,binding,1.034,,,,0.47,mailman say actress greeted him,A,Aa,7.383,0.28,,bind5,4265.796,The mailman saw that the actress greeted himself.,41,,
133,condition1,4.858,,4,subcat,1.684,,,,0.87,committee agreed to park budget,B,Ba,5.801,0.72,,sub3,4278.531,The committee agreed for the budget for the park.,42,,
133,condition1,3.975,,4,gram,2.217,,,,0.99,artist listens to music at work every day,,,8.018,0.99,,gram5,4290.882,The artist listens to music at work every day.,43,,
133,condition1,4.592,,4,adj_island,1.517,,,,0.37,student attended lecture because professor recommended,F,Fa,10.018,0.23,,adj1,4305.1,What did the student attend lecture because a professor recommended?,44,,
133,condition1,4.875,,5,NPI,1.62,,,,0.58,detective accused everyone during investigation,A,Aa,9.715,0.28,,NPI4,4321.236,The detective accused anyone during his investigation.,45,,
133,condition1,2.657,,5,gram,1.733,,,,0.98,cashier didnt see anyone at store,,,8.319,0.95,,gram4,4337.455,The cashier didn't see anyone at the store.,46,,
133,condition1,2.991,,5,LBC,1.25,,,,0.7,how many books fit in the locker,A,Aa,9.218,0.13,,LBC5,4350.172,How many did you fit in your locker books?,47,,
133,condition1,3.241,,5,subcat,1.367,,,,0.89,bride insisted on this venue for her wedding,A,Aa,13.818,0.72,,sub4,4363.64,The bride insisted for this venue for her wedding.,48,,
133,condition1,80.174,,5,adj_island,1.184,,,,0.57,did the sculptor leave room because assistant insulted the sculpture,B,Ba,16.502,0.36,,adj2,4382.074,What did the sculptor leave the room because the assistant insulted?,49,,
133,condition1,3.141,,5,CSC,1.334,,,,0.29,does the woman listen to the Beatles,B,Ba,8.418,0.21,,CSC5,4479.943,Who does the woman listen to the Beatles and?,50,,
133,condition1,3.708,,5,head_dir,2.049,,,,0.89,citizens voted on new bill,A,Aa,7.069,0.55,,head5,4492.845,The citizens the new bill voted on.,51,,
133,condition1,2.612,,5,ungram,1.363,,,,0.14,special commander initiates,,,6.701,0.04,,ungram3,4505.679,Special commander does spy the initiated the what believe that ?,52,,
133,condition1,2.608,,5,agreement,1.35,,,,0.99,children scared by movie,A,Aa,5.702,1,,agr4,4516.363,The child were scared by the movie.,53,,
133,condition1,3.075,,5,binding,1.417,,,,0.63,butler said widow scolded him,A,Aa,7.266,0.34,,bind3,4526.031,The butler claimed that the widow reprimanded himself.,54,,
133,condition1,2.258,,5,subj_island,1.201,,,,0.59,did collection impress curators,C,Ca,7.984,0.24,,subj1,4537.798,What did a collection of impress the curators?,55,,
60,condition1,10.839,1,practice,practice_good,8.225,,practice_good,,1,,,,24.837,,,,16.593,,0,0,
60,condition1,11.643,,practice,,4.344,,practice_mid,practice_mid,0.68,,,,13.238,,0.16,,60.502,,0,0,
60,condition1,11.637,,practice,,3.929,,practice_bad,practice_bad,0,,,,13.932,,0,,89.733,,0,0,
60,condition1,9.297,,1,ungram,16.129,,,,0,What claim does the pianist believe they can practice?,,,14.287,0,,ungram5,134.992,Lead pianist to what claim the does believe that can practice ?,1,,
60,condition1,8.327,,1,subcat,1.795,,,,0.74,The family compromised regarding where to go for vacation.,A,Ae,14.626,0.79,,sub5,174.712,The family compromised for where to go for vacation.,2,,
60,condition1,7.481,,1,LBC,3.29,,,,0.73,How many dogs did they see at the park?,A,Aa,6.685,0.17,,LBC4,199.464,How many did they see dogs at the park?,3,,
60,condition1,7.116,,1,agreement,4.753,,,,0.85,The burger was devoured quickly by the eater.,B,Bb,9.554,0.32,,agr3,216.923,The burger were devoured quickly by the diner.,4,,
60,condition1,7.575,,1,NPI,1.509,,,,0.33,The detective was willing to accuse anyone during the investigation.,E,Eb,12.549,0.39,,NPI4,238.35,The detective accused anyone during his investigation.,5,,
60,condition1,6.762,,1,head_dir,2.431,,,,0.9,The boy plays videogames every day.,A,Aa,13.567,0.47,,head3,259.988,The boy video games plays every day.,6,,
60,condition1,7.318,,1,adj_island,2.091,,,,0.2,The housewife praised the waiter for setting the table.,G,Ga,17.882,0.18,,adj5,282.753,What did the waiter set the table because the housewife praised?,7,,
60,condition1,3.67,,1,binding,2.695,,,,0.23,The bride thinks that the groom saw her.,A,Aa,6.995,0.3,,bind1,310.049,The bride thinks that the groom saw herself.,8,,
60,condition1,7.063,,1,gram,1.854,,,,0.69,Which actor is liked by the brother and hated by the sister?,,,10.679,0.57,,gram3,323.414,Which actor does the brother like and the sister hate?,9,,
60,condition1,4.865,,1,CSC,2.19,,,,0.81,"Besides the Beatles, whom does the woman listen to?",A,Ab,8.426,0.15,,CSC5,343.015,Who does the woman listen to the Beatles and?,10,,
60,condition1,7.41,,1,subj_island,3.627,,,,0.82,The curators were impressed by a collection of what object?,A,Ad,13.608,0.23,,subj1,358.499,What did a collection of impress the curators?,11,,
60,condition1,5.235,,2,head_dir,1.514,,,,0.86,The child surely ate the chocolate cake.,A,Aa,6.896,0.21,,head1,383.148,The child surely the chocolate cake ate.,12,,
60,condition1,5.938,,2,binding,2.649,,,,0.63,The butler claimed that the widow criticized herself.,B,Ba,9.779,0.44,,bind3,396.797,The butler claimed that the widow reprimanded himself.,13,,
60,condition1,10.017,,2,subj_island,2.702,,,,0.82,What gift pleased the recipient?,A,Ab,7.009,0.11,,subj3,415.167,What did a gift of please the recipient?,14,,
60,condition1,3.322,,2,agreement,1.236,,,,0.85,The child was scared by the movie.,B,Bb,8.486,0.3,,agr4,434.898,The child were scared by the movie.,15,,
60,condition1,6.29,,2,subcat,1.346,,,,0.63,The committee agreed on the budget for the park.,A,Aa,10.208,0.26,,sub3,447.947,The committee agreed for the budget for the park.,16,,
60,condition1,4.708,,2,gram,2.488,,,,1,The patient knew the receptionist didn't like him.,,,10.425,1,,gram1,465.794,The patient knew that the receptionist disliked him.,17,,
60,condition1,2.316,,2,LBC,1.859,,,,0.7,How many cookies did you see in the jar?,A,Aa,8.101,0.28,,LBC1,483.42,How many did you see cookies in the jar?,18,,
60,condition1,4.308,,2,ungram,2.295,,,,0.14,Do activists bribe officials?,,,5.99,0.07,,ungram2,495.7,Do activists bribed claim officials the that the who ?,19,,
60,condition1,3.939,,2,NPI,1.992,,,,0.56,The teacher wrote randomly on the whiteboard.,J,Ja,9.042,0.63,,NPI3,508.297,The teacher wrote anything on the whiteboard.,20,,
60,condition1,7.454,,2,adj_island,1.668,,,,0.21,What made the student attend the lecture?,A,Ab,6.85,0.22,,adj1,523.274,What did the student attend lecture because a professor recommended?,21,,
60,condition1,4.022,,2,CSC,1.544,,,,0.7,What did the boy purchase alongside his milk?,A,Ac,21.613,0.25,,CSC4,539.25,What did the boy purchase milk and?,22,,
60,condition1,5.663,,3,ungram,4.366,,,,0.14,The special commander spies.,,,4.747,0.04,,ungram3,566.433,Special commander does spy the initiated the what believe that ?,23,,
60,condition1,4.242,,3,head_dir,2.241,,,,0.93,The tourist visited her favorite restaurant.,A,Aa,8.075,0.13,,head4,581.214,The tourist her favorite restaurant visited.,24,,
60,condition1,4.734,,3,CSC,1.601,,,,0.77,Who else besides the actor does the critic dislike?,A,Ad,13.73,0.15,,CSC2,595.777,Who does the critic dislike the actor and?,25,,
60,condition1,6.623,,3,binding,1.171,,,,0.74,The gentleman accepted that the waitress disliked him.,A,Aa,11.249,0.15,,bind4,615.847,The gentleman accepted that the waitress disliked himself.,26,,
60,condition1,4.949,,3,LBC,1.401,,,,0.36,How many books did you fit in your locker?,A,Aa,8.46,0.12,,LBC5,634.895,How many did you fit in your locker books?,27,,
60,condition1,3.278,,3,gram,2.023,,,,0.89,The report on the court case brought up the defendant's name.,,,15.268,0.77,,gram2,649.709,The report on the court case mentioned the defendant's name.,28,,
60,condition1,3.827,,3,NPI,1.716,,,,0.16,The spy saw something yesterday.,B,Ba,10.075,0.34,,NPI1,670.283,The spy saw anything yesterday.,29,,
60,condition1,4.012,,3,subcat,2.568,,,,0.84,The group decided on a restaurant for dinner.,A,Aa,13.811,0.63,,sub2,685.906,The group decided for a restaurant for dinner.,30,,
60,condition1,4.364,,3,subj_island,4.348,,,,0.7,What was the painting of that got stolen?,A,Ae,42.812,0.23,,subj2,706.302,What did a painting of get stolen?,31,,
60,condition1,2.964,,3,agreement,1.048,,,,0.73,The clown was invited to the party by the host.,B,Bb,6.69,0.11,,agr1,757.831,The clown were invited to the party by the host.,32,,
60,condition1,5.42,,3,adj_island,2.818,,,,0.74,The chef had to do housework because the maid was injured.,F,Fb,10.559,0.24,,adj3,768.538,What did the chef do housework because the maid injured?,33,,
60,condition1,3.404,,4,LBC,1.027,,,,0.85,How many pills do you take in a day?,A,Aa,8.634,0.2,,LBC2,787.34,How many do you take pills in a day?,34,,
60,condition1,2.874,,4,CSC,1.167,,,,0.81,What did the farmer harvest alongside corn?,A,Ac,7.275,0.2,,CSC1,800.409,What did the farmer harvest corn and?,35,,
60,condition1,4.663,,4,adj_island,1.355,,,,0.77,The fugitive ran away because their accomplice was recognized.,F,Fb,13.18,0.22,,adj4,811.729,What did the fugitive run away because her accomplice recognized?,36,,
60,condition1,2.832,,4,agreement,1.171,,,,0.76,The performer was chased off stage by the public.,B,Bb,8.651,0.24,,agr5,830.932,The performer were chased off stage by the public.,37,,
60,condition1,2.997,,4,subj_island,1.906,,,,0.8,What was in the exhibit that the citizens were angered by?,A,Aa,26.916,0.19,,subj5,843.591,What did an exhibit of anger the citizens?,38,,
60,condition1,3.974,,4,subcat,1.447,,,,0.7,The cop relied on his instincts to catch the thief.,A,Aa,10.175,0.26,,sub1,875.416,The policeman relied for his instincts to catch the thief.,39,,
60,condition1,3.065,,4,binding,4.226,,,,0.17,The mailman saw the actress get greeted.,H,Hb,9.211,0.22,,bind5,891.016,The mailman saw that the actress greeted himself.,40,,
60,condition1,2.829,,4,head_dir,1.484,,,,0.92,The kitten drank all of the milk.,A,Aa,5.967,0.18,,head2,907.523,The kitten all of the milk drank.,41,,
60,condition1,3.168,,4,gram,1.866,,,,0.96,The cashier didn't see any people at the store.,,,7.302,0.92,,gram4,917.808,The cashier didn't see anyone at the store.,42,,
60,condition1,3.187,,4,NPI,1.179,,,,0.67,The student liked everyone in her class.,A,Aa,6.559,0.17,,NPI2,930.148,The student liked anyone in her class.,43,,
60,condition1,4.423,,4,ungram,2.941,,,,0.06,The mechanic powers the car with biofuel.,,,13.79,0,,ungram1,941.077,Mechanic the that can power biofuel the does believe what ?,44,,
60,condition1,4.134,,5,head_dir,1.573,,,,0.82,The citizens voted on the new bill.,A,Aa,8.717,0.16,,head5,962.236,The citizens the new bill voted on.,45,,
60,condition1,4.8,,5,ungram,4.404,,,,0.49,The detective claimed he believed who used the poison.,,,15.216,0.05,,ungram4,976.662,Believe the does killed claim that who detective the poison ?,46,,
60,condition1,3.899,,5,CSC,2.51,,,,0.77,What did the captain bring besides the map?,A,Ae,10.909,0.14,,CSC3,1001.087,What did the captain bring a map and?,47,,
