workerid,proliferate.condition,accept_time,acceptability,block_number,condition,confidence_time,first_response_value,itemID,item_type,meaning_confidence,paraphrase,paraphrase_time,rating,response,sentence_id,slide_start,stimulus,trial_sequence_total,wrong_attempts,error
100,condition1,4.231,,3,subcat,1.785,,,,0.84,the family was able to compromise and pick a place for vacation.,20.614,0.9,,sub5,1151.561,The family compromised for where to go for vacation.,31,,
100,condition1,3.91,,3,binding,1.398,,,,0.79,the actress greeted the mailman.,10.487,0.71,,bind5,1178.195,The mailman saw that the actress greeted himself.,32,,
100,condition1,4.08,,3,CSC,1.95,,,,0.68,the farmer harvested corn and what else?,9.832,0.71,,CSC1,1193.994,What did the farmer harvest corn and?,33,,
100,condition1,15.93,,4,ungram,3.317,,,,0.35,did the activists bribe officials?,12.9,0.39,,ungram2,1209.86,Do activists bribed claim officials the that the who ?,34,,
100,condition1,4.111,,4,head_dir,1.749,,,,0.68,the kitten drank all of the milk.,7.233,0.65,,head2,1242.012,The kitten all of the milk drank.,35,,
100,condition1,3.18,,4,LBC,1.632,,,,0.78,how many cookies did you see in the jar?,13.736,0.81,,LBC1,1255.108,How many did you see cookies in the jar?,36,,
100,condition1,6.513,,4,NPI,1.401,,,,0.68,the teacher wrote everything on the whiteboard.,11.265,0.67,,NPI3,1273.66,The teacher wrote anything on the whiteboard.,37,,
100,condition1,2.946,,4,CSC,2.767,,,,0.7,the critic dislikes the actor and who else?,13.233,0.82,,CSC2,1292.843,Who does the critic dislike the actor and?,38,,
100,condition1,5.345,,4,subj_island,1.15,,,,0.67,what was the painting that got stolen?,16.383,0.83,,subj2,1311.794,What did a painting of get stolen?,39,,
100,condition1,4.113,,4,agreement,2.218,,,,0.75,the host invited the clowns to the party.,10.632,0.86,,agr1,1334.676,The clown were invited to the party by the host.,40,,
100,condition1,6.863,,4,adj_island,2.168,,,,0.64,what did the waiter set on the table because of the housewife’s request?,24.083,0.66,,adj5,1351.642,What did the waiter set the table because the housewife praised?,41,,
100,condition1,3.698,,4,gram,2.616,,,,0.88,"which actor does the brother prefer, and the sister dislike?",18.917,0.86,,gram3,1384.757,Which actor does the brother like and the sister hate?,42,,
100,condition1,3.667,,4,subcat,1.967,,,,0.83,the committee agreed on the park.,9.613,0.93,,sub3,1409.992,The committee agreed for the budget for the park.,43,,
100,condition1,4.463,,4,binding,1.65,,,,0.75,the duchess heard the king liked her.,10.5,0.85,,bind2,1425.242,The duchess heard that the king liked herself.,44,,
100,condition1,17.578,,5,ungram,1.766,,,,0.35,what does the lead pianist claim to practice?,11.634,0.28,,ungram5,1441.86,Lead pianist to what claim the does believe that can practice ?,45,,
100,condition1,3.711,,5,LBC,27.286,,,,0.9,how many books do you read in a year?,9.766,0.84,,LBC3,1472.843,How many do you read books in a year?,46,,
100,condition1,2.746,,5,gram,2.801,,,,0.84,the cashier saw no one at the store.,9.715,0.88,,gram4,1513.609,The cashier didn't see anyone at the store.,47,,
100,condition1,4.044,,5,NPI,2.784,,,,0.82,the detective accused everyone in the investigation.,15.767,0.83,,NPI4,1528.876,The detective accused anyone during his investigation.,48,,
100,condition1,7.811,,5,adj_island,2.002,,,,0.75,did the fugitive run away because her acquaintance was taken?,25.032,0.78,,adj4,1551.475,What did the fugitive run away because her accomplice recognized?,49,,
100,condition1,3.314,,5,head_dir,12.05,,,,0.75,the citizens voted on the new bill.,12.948,0.81,,head5,1586.324,The citizens the new bill voted on.,50,,
100,condition1,4.462,,5,subcat,5.251,,,,0.95,the bride insisted on this venue for her wedding.,13.616,0.92,,sub4,1614.64,The bride insisted for this venue for her wedding.,51,,
100,condition1,6.479,,5,binding,4.8,,,,0.83,"the butler said the widow reprimanded him,",18.034,0.79,,bind3,1637.973,The butler claimed that the widow reprimanded himself.,52,,
100,condition1,22.679,,5,subj_island,2.834,,,,0.9,what exhibit angered the citizens?,13.166,0.66,,subj5,1667.29,What did an exhibit of anger the citizens?,53,,
100,condition1,5.378,,5,CSC,1.833,,,,0.77,what else did the captain bring besides a map?,10.468,0.81,,CSC3,1705.973,What did the captain bring a map and?,54,,
100,condition1,2.261,,5,agreement,1.369,,,,0.85,the child was scared by the movie.,8.117,0.9,,agr4,1723.656,The child were scared by the movie.,55,,
29,condition1,7.468,0.88,practice,practice_good,5.901,,practice_good,,0.9,,107.221,,,,16.995,,0,0,
29,condition1,21.475,,practice,,3.625,,practice_mid,practice_mid,0.43,,11.731,,0.1,,137.586,,0,0,
29,condition1,19.235,,practice,,4.496,,practice_bad,practice_bad,0.14,,14.176,,0,,174.418,,0,0,
29,condition1,16.73,,1,adj_island,8.263,,,,0.16,Why did the fugitive run away? Was it because her accomplice was recognized?,14.353,0.16,,adj4,228.221,What did the fugitive run away because her accomplice recognized?,1,,
29,condition1,9.295,,1,NPI,2.554,,,,0.93,The detective accused just about anyone during the investigation.,10.446,0.81,,NPI4,267.571,The detective accused anyone during his investigation.,2,,
29,condition1,13.516,,1,ungram,2.645,,,,0.02,What does the special commander believe about the spy?,27.953,0,,ungram3,289.868,Special commander does spy the initiated the what believe that ?,3,,
29,condition1,9.06,,1,subcat,3.614,,,,0.97,The policeman relied on his instincts to catch the criminal.,11.435,0.61,,sub1,333.983,The policeman relied for his instincts to catch the thief.,4,,
29,condition1,14.277,,1,agreement,3.055,,,,0.94,The burger was devoured quickly by the diner.,9.173,0.6,,agr3,358.093,The burger were devoured quickly by the diner.,5,,
29,condition1,7.622,,1,CSC,2.757,,,,0.92,"What did the farmer harvest, other than corn?",8.621,0.36,,CSC1,384.6,What did the farmer harvest corn and?,6,,
29,condition1,8.277,,1,LBC,2.458,,,,0.88,How many books do you read in a year?,7.508,0.36,,LBC3,403.601,How many do you read books in a year?,7,,
29,condition1,4.062,,1,gram,3.499,,,,0.96,"Everyday, the artist listens to music at work.",12.798,1,,gram5,421.846,The artist listens to music at work every day.,8,,
29,condition1,12.386,,1,subj_island,6.638,,,,0.35,Did the gift please the recipient?,9.175,0.14,,subj3,442.206,What did a gift of please the recipient?,9,,
29,condition1,11.445,,1,binding,2.533,,,,0.96,The gentleman accepted the fact that the waitress disliked him.,17.461,0.42,,bind4,470.406,The gentleman accepted that the waitress disliked himself.,10,,
29,condition1,3.668,,1,head_dir,1.965,,,,0.91,The kitten drank all of the milk.,5.807,0.32,,head2,501.847,The kitten all of the milk drank.,11,,
29,condition1,4.638,,2,subj_island,2.716,,,,0.28,What meal disgusted the diner?,4.334,0.09,,subj4,513.288,What did a meal of disgust the diner?,12,,
29,condition1,10.501,,2,NPI,3.396,,,,0.83,The teacher wrote everything on the whiteboard.,6.536,0.29,,NPI3,524.977,The teacher wrote anything on the whiteboard.,13,,
29,condition1,5.617,,2,head_dir,2.231,,,,0.97,The citizens voted on the new bill.,6.007,0.55,,head5,545.412,The citizens the new bill voted on.,14,,
29,condition1,14.145,,2,ungram,2.409,,,,0.11,Who does the detective claim the poison killed?,9.828,0,,ungram4,559.268,Believe the does killed claim that who detective the poison ?,15,,
29,condition1,5.785,,2,subcat,3.476,,,,0.93,The group decided on a restaurant for dinner.,12.333,0.67,,sub2,585.651,The group decided for a restaurant for dinner.,16,,
29,condition1,9.619,,2,adj_island,2.764,,,,0.3,Why did the sculptor leave the room? Is it because the assistant insulted him?,14.53,0.67,,adj2,607.246,What did the sculptor leave the room because the assistant insulted?,17,,
29,condition1,8.059,,2,gram,1.94,,,,0.97,Who is the actor that the brother likes but the sister hates?,29.579,0.93,,gram3,634.16,Which actor does the brother like and the sister hate?,18,,
29,condition1,48.129,,2,LBC,2.716,,,,0.96,How many books can you fit in your locker?,7.025,0.66,,LBC5,673.739,How many did you fit in your locker books?,19,,
29,condition1,6.49,,2,binding,2.521,,,,0.85,The duchess found out that the king liked her.,9.31,0.74,,bind2,731.611,The duchess heard that the king liked herself.,20,,
29,condition1,9.539,,2,agreement,2.773,,,,0.78,The performer was chased off the stage by the audience.,10.689,0.59,,agr5,749.934,The performer were chased off stage by the public.,21,,
29,condition1,4.954,,2,CSC,1.818,,,,0.85,"What did the captain bring, other than a map?",8.355,0.31,,CSC3,772.937,What did the captain bring a map and?,22,,
29,condition1,7.104,,3,adj_island,4.381,,,,0.75,Did the student attend lecture because a professor advised him to?,26.932,0.21,,adj1,788.065,What did the student attend lecture because a professor recommended?,23,,
29,condition1,10.848,,3,ungram,4.54,,,,0.35,"According to the mechanic, what can biofuel power?",134.335,0.12,,ungram1,826.484,Mechanic the that can power biofuel the does believe what ?,24,,
29,condition1,18.208,,3,binding,2.756,,,,0.95,The mailman saw that he was greeted by the actress.,14.892,0.6,,bind5,976.209,The mailman saw that the actress greeted himself.,25,,
29,condition1,4.13,,3,subcat,2.114,,,,0.99,The family compromised on where to go for vacation.,17.652,0.76,,sub5,1012.067,The family compromised for where to go for vacation.,26,,
29,condition1,3.741,,3,NPI,1.423,,,,0.95,The student liked everyone in her class.,6.356,0.68,,NPI2,1035.965,The student liked anyone in her class.,27,,
29,condition1,3.199,,3,agreement,2.562,,,,0.91,The movie scared the child.,8.994,0.63,,agr4,1047.487,The child were scared by the movie.,28,,
29,condition1,4.438,,3,gram,2.384,,,,0.85,The patient knew that the receptionist didn't like him.,15.78,0.65,,gram1,1062.243,The patient knew that the receptionist disliked him.,29,,
29,condition1,3.435,,3,head_dir,3.929,,,,0.8,The tourist visited her favorite restaurant.,8.145,0.38,,head4,1084.847,The tourist her favorite restaurant visited.,30,,
29,condition1,3.968,,3,LBC,4.293,,,,0.89,How many dogs did they see at the park?,6.625,0.46,,LBC4,1100.358,How many did they see dogs at the park?,31,,
29,condition1,5.615,,3,subj_island,5.208,,,,0.67,What type of collection impressed the curators?,18.519,0.64,,subj1,1115.246,What did a collection of impress the curators?,32,,
29,condition1,3.473,,3,CSC,14.044,,,,0.87,"What did the boy purchase, other than milk?",8.128,0.69,,CSC4,1144.589,What did the boy purchase milk and?,33,,
29,condition1,3.039,,4,NPI,4.423,,,,0.63,The spy saw everything yesterday.,10.979,0.75,,NPI1,1170.235,The spy saw anything yesterday.,34,,
29,condition1,3.246,,4,agreement,3.494,,,,0.9,The clown was invited to the party.,7.883,0.54,,agr1,1188.677,The clown were invited to the party by the host.,35,,
29,condition1,4.583,,4,binding,2.07,,,,0.78,The bride thinks that the groom saw her.,7.028,0.69,,bind1,1203.301,The bride thinks that the groom saw herself.,36,,
29,condition1,10.001,,4,ungram,2.919,,,,0.18,Who do activists claim bribed the official?,8.333,0.17,,ungram2,1216.983,Do activists bribed claim officials the that the who ?,37,,
29,condition1,242.848,,4,adj_island,2.094,,,,0.38,How did the waiter set the table? Did the housewife praised him?,38.799,0.31,,adj5,1238.237,What did the waiter set the table because the housewife praised?,38,,
29,condition1,3.783,,4,CSC,2.83,,,,0.83,"Who does the woman listen to, other than the Beatles?",8.794,0.65,,CSC5,1521.979,Who does the woman listen to the Beatles and?,39,,
29,condition1,4.987,,4,head_dir,2.296,,,,1,The child definitely ate the chocolate cake.,8.769,1,,head1,1537.387,The child surely the chocolate cake ate.,40,,
29,condition1,4.721,,4,LBC,2.054,,,,0.98,How many cookies do you see in the jar?,6.32,0.67,,LBC1,1553.44,How many did you see cookies in the jar?,41,,
29,condition1,3.371,,4,gram,2.53,,,,1,There was nobody that the cashier saw at the store.,8.639,1,,gram4,1566.536,The cashier didn't see anyone at the store.,42,,
29,condition1,7.697,,4,subj_island,4.132,,,,0.89,What type of exhibit were the citizens angered by?,12.261,0.54,,subj5,1581.077,What did an exhibit of anger the citizens?,43,,
29,condition1,4.64,,4,subcat,5.263,,,,0.91,The committee agreed on a budget for the park.,6.747,0.79,,sub3,1605.168,The committee agreed for the budget for the park.,44,,
29,condition1,3.28,,5,LBC,1.908,,,,0.95,How many pills do you take in a day?,6.683,0.52,,LBC2,1621.82,How many do you take pills in a day?,45,,
29,condition1,6.273,,5,agreement,3.029,,,,0.94,The student was reprimanded by their parents.,11.418,1,,agr2,1633.693,The student were reprimanded by the parents.,46,,
29,condition1,4.852,,5,subcat,1.674,,,,0.9,The bride insisted on this venue for her wedding.,6.468,0.66,,sub4,1654.415,The bride insisted for this venue for her wedding.,47,,
29,condition1,5.577,,5,NPI,1.81,,,,0.3,The patient didn't do anything on the hospital bed.,12.212,0.6,,NPI5,1667.41,The patient did anything on the hospital bed.,48,,
29,condition1,8.108,,5,binding,4.07,,,,0.36,"According to the butler, the widow punished him.",19.095,0.44,,bind3,1687.011,The butler claimed that the widow reprimanded himself.,49,,
29,condition1,8.011,,5,subj_island,2.918,,,,0.76,What type of painting got stolen?,5.534,0.72,,subj2,1718.285,What did a painting of get stolen?,50,,
29,condition1,12.271,,5,ungram,1.812,,,,0.25,What does the lead pianist practice?,6.163,0,,ungram5,1734.749,Lead pianist to what claim the does believe that can practice ?,51,,
29,condition1,2.99,,5,head_dir,2.806,,,,1,The boy plays video games everyday.,6.895,0.58,,head3,1754.996,The boy video games plays every day.,52,,
29,condition1,4.24,,5,gram,4.463,,,,1,The court case report mentioned the name of the defendant.,8.908,1,,gram2,1767.688,The report on the court case mentioned the defendant's name.,53,,
29,condition1,3.329,,5,adj_island,2.175,,,,0.78,Why did the chef do housework? Was the maid injured?,8.798,0.52,,adj3,1785.3,What did the chef do housework because the maid injured?,54,,
29,condition1,3.54,,5,CSC,2.535,,,,0.77,"Who does the critic dislike, other than the actor?",7.832,0.62,,CSC2,1799.604,Who does the critic dislike the actor and?,55,,
118,condition1,8.307,0.99,practice,practice_good,7.099,,practice_good,,1,,42.197,,,,15.906,,0,0,
